[attractor-pool-L63] building size=16 dim=3 spinup_steps=20 seed=42
[attractor-pool-L63] spinup 2/20
[attractor-pool-L63] spinup 4/20
[attractor-pool-L63] spinup 6/20
[attractor-pool-L63] spinup 8/20
[attractor-pool-L63] spinup 10/20
[attractor-pool-L63] spinup 12/20
[attractor-pool-L63] spinup 14/20
[attractor-pool-L63] spinup 16/20
[attractor-pool-L63] spinup 18/20
[attractor-pool-L63] spinup 20/20
[attractor-pool-L63] ready
difficulty trajectories per batch: 0:2, 1:2, 2:2, 3:2
Epoch   0 | RMSE 7.0474 | nl2 0.16492
Epoch   1 | RMSE 2.9443 | nl2 0.02502
Epoch   2 | RMSE 5.1801 | nl2 0.10389
Epoch   3 | RMSE 9.0826 | nl2 1.59345
Epoch   4 | RMSE 10.7908 | nl2 2.93993
Epoch   5 | RMSE 3.8515 | nl2 0.03804
Epoch   6 | RMSE 2.9215 | nl2 0.09824
Epoch   7 | RMSE 1.7166 | nl2 0.01795
Epoch   8 | RMSE 1.6546 | nl2 0.01380
Epoch   9 | RMSE 3.1714 | nl2 0.04168
Epoch  10 | RMSE 4.5067 | nl2 0.12071
Epoch  11 | RMSE 4.0601 | nl2 0.08485
Epoch  12 | RMSE 12.2425 | nl2 0.65296
Epoch  13 | RMSE 3.1562 | nl2 0.10832
Epoch  14 | RMSE 3.3381 | nl2 0.09009
Epoch  15 | RMSE 2.7790 | nl2 0.02449
Epoch  16 | RMSE 1.8313 | nl2 0.05895
Epoch  17 | RMSE 2.4052 | nl2 0.02206
Epoch  18 | RMSE 1.9380 | nl2 0.01945
Epoch  19 | RMSE 2.4513 | nl2 0.08076
Epoch  20 | RMSE 1.7014 | nl2 0.01010
Epoch  21 | RMSE 1.7907 | nl2 0.01590
Epoch  22 | RMSE 1.7104 | nl2 0.01101
Epoch  23 | RMSE 1.4492 | nl2 0.01403
Epoch  24 | RMSE 1.4841 | nl2 0.01924
Epoch  25 | RMSE 1.2675 | nl2 0.00594
Epoch  26 | RMSE 1.9340 | nl2 0.01143
Epoch  27 | RMSE 1.9778 | nl2 0.03034
Epoch  28 | RMSE 1.4712 | nl2 0.01130
Epoch  29 | RMSE 1.3424 | nl2 0.02081
Epoch  30 | RMSE 2.0630 | nl2 0.01909
Epoch  31 | RMSE 1.5043 | nl2 0.01004
Epoch  32 | RMSE 1.7049 | nl2 0.00888
Epoch  33 | RMSE 1.4125 | nl2 0.01425
Epoch  34 | RMSE 1.4202 | nl2 0.00751
Epoch  35 | RMSE 1.5835 | nl2 0.01244
Epoch  36 | RMSE 1.2471 | nl2 0.00717
Epoch  37 | RMSE 1.7415 | nl2 0.00946
Epoch  38 | RMSE 1.6785 | nl2 0.01599
Epoch  39 | RMSE 1.2482 | nl2 0.00562
Epoch  40 | RMSE 1.0532 | nl2 0.00952
Epoch  41 | RMSE 1.0500 | nl2 0.00514
Epoch  42 | RMSE 1.5696 | nl2 0.00999
Epoch  43 | RMSE 1.1992 | nl2 0.00547
Epoch  44 | RMSE 1.6737 | nl2 0.02030
Epoch  45 | RMSE 1.9337 | nl2 0.02583
Epoch  46 | RMSE 1.3443 | nl2 0.01117
Epoch  47 | RMSE 1.5447 | nl2 0.01190
Epoch  48 | RMSE 1.4834 | nl2 0.01976
Epoch  49 | RMSE 1.5371 | nl2 0.02698
Epoch  50 | RMSE 1.7558 | nl2 0.01047
Epoch  51 | RMSE 1.3921 | nl2 0.00992
Epoch  52 | RMSE 0.8128 | nl2 0.00294
Epoch  53 | RMSE 1.3172 | nl2 0.00889
Epoch  54 | RMSE 2.5080 | nl2 0.03976
Epoch  55 | RMSE 1.8289 | nl2 0.02453
Epoch  56 | RMSE 1.7740 | nl2 0.01658
Epoch  57 | RMSE 1.3787 | nl2 0.00927
Epoch  58 | RMSE 2.1484 | nl2 0.02043
Epoch  59 | RMSE 1.2534 | nl2 0.01877
Epoch  60 | RMSE 1.5338 | nl2 0.01287
Epoch  61 | RMSE 1.6358 | nl2 0.01508
Epoch  62 | RMSE 1.7649 | nl2 0.04007
Epoch  63 | RMSE 1.8800 | nl2 0.01598
Epoch  64 | RMSE 1.5614 | nl2 0.02497
Epoch  65 | RMSE 1.7679 | nl2 0.01392
Epoch  66 | RMSE 2.2570 | nl2 0.03947
Epoch  67 | RMSE 1.6366 | nl2 0.02571
Epoch  68 | RMSE 1.5987 | nl2 0.01990
Epoch  69 | RMSE 1.3849 | nl2 0.00613
Epoch  70 | RMSE 1.6233 | nl2 0.01074
Epoch  71 | RMSE 1.6896 | nl2 0.01832
Epoch  72 | RMSE 2.2068 | nl2 0.02973
Epoch  73 | RMSE 1.3630 | nl2 0.02274
Epoch  74 | RMSE 1.8660 | nl2 0.02267
Epoch  75 | RMSE 1.5782 | nl2 0.01368
Epoch  76 | RMSE 1.3642 | nl2 0.00989
Epoch  77 | RMSE 1.4252 | nl2 0.01305
Epoch  78 | RMSE 1.2812 | nl2 0.01415
Epoch  79 | RMSE 2.3774 | nl2 0.02767
Epoch  80 | RMSE 1.3733 | nl2 0.01761
Epoch  81 | RMSE 2.3851 | nl2 0.04786
Epoch  82 | RMSE 1.2598 | nl2 0.00713
Epoch  83 | RMSE 1.3826 | nl2 0.00790
Epoch  84 | RMSE 1.5887 | nl2 0.01718
Epoch  85 | RMSE 1.0288 | nl2 0.00682
Epoch  86 | RMSE 1.0092 | nl2 0.00525
Epoch  87 | RMSE 0.8841 | nl2 0.00918
Epoch  88 | RMSE 0.9055 | nl2 0.00226
Epoch  89 | RMSE 0.8699 | nl2 0.00777
Epoch  90 | RMSE 1.8538 | nl2 0.01512
Epoch  91 | RMSE 1.7537 | nl2 0.01304
Epoch  92 | RMSE 2.7791 | nl2 0.05246
Epoch  93 | RMSE 1.1649 | nl2 0.00503
Epoch  94 | RMSE 1.6719 | nl2 0.00786
Epoch  95 | RMSE 2.1884 | nl2 0.02956
Epoch  96 | RMSE 1.8354 | nl2 0.01625
Epoch  97 | RMSE 1.8798 | nl2 0.02464
Epoch  98 | RMSE 1.5751 | nl2 0.01865
Epoch  99 | RMSE 1.7954 | nl2 0.02061
Epoch 100 | RMSE 1.8273 | nl2 0.01232
Epoch 101 | RMSE 0.9354 | nl2 0.00294
Epoch 102 | RMSE 1.3349 | nl2 0.02393
Epoch 103 | RMSE 1.0909 | nl2 0.00750
Epoch 104 | RMSE 2.2220 | nl2 0.01724
Epoch 105 | RMSE 2.3016 | nl2 0.01711
Epoch 106 | RMSE 1.4217 | nl2 0.00892
Epoch 107 | RMSE 1.9001 | nl2 0.02902
Epoch 108 | RMSE 1.1769 | nl2 0.00747
Epoch 109 | RMSE 2.0080 | nl2 0.01638
Epoch 110 | RMSE 1.3668 | nl2 0.01269
Epoch 111 | RMSE 1.2289 | nl2 0.00493
Epoch 112 | RMSE 1.8154 | nl2 0.02163
Epoch 113 | RMSE 1.6203 | nl2 0.01613
Epoch 114 | RMSE 2.2928 | nl2 0.02265
Epoch 115 | RMSE 1.5273 | nl2 0.02349
Epoch 116 | RMSE 1.7375 | nl2 0.01215
Epoch 117 | RMSE 1.1769 | nl2 0.00828
Epoch 118 | RMSE 1.3771 | nl2 0.00704
Epoch 119 | RMSE 1.2321 | nl2 0.01232
Epoch 120 | RMSE 1.7765 | nl2 0.01636
Epoch 121 | RMSE 1.4223 | nl2 0.00723
Epoch 122 | RMSE 1.2345 | nl2 0.00595
Epoch 123 | RMSE 1.2272 | nl2 0.00531
Epoch 124 | RMSE 1.3672 | nl2 0.00915
Epoch 125 | RMSE 1.4225 | nl2 0.00898
Epoch 126 | RMSE 0.9734 | nl2 0.00743
Epoch 127 | RMSE 1.5949 | nl2 0.00995
Epoch 128 | RMSE 1.6387 | nl2 0.01626
Epoch 129 | RMSE 1.5729 | nl2 0.00757
Epoch 130 | RMSE 1.6333 | nl2 0.01600
Epoch 131 | RMSE 1.4882 | nl2 0.00961
Epoch 132 | RMSE 1.5404 | nl2 0.00928
Epoch 133 | RMSE 1.4683 | nl2 0.00657
Epoch 134 | RMSE 1.4680 | nl2 0.00921
Epoch 135 | RMSE 1.1209 | nl2 0.00430
Epoch 136 | RMSE 1.6674 | nl2 0.00917
Epoch 137 | RMSE 1.1706 | nl2 0.00411
Epoch 138 | RMSE 0.8926 | nl2 0.00412
Epoch 139 | RMSE 2.3729 | nl2 0.01933
Epoch 140 | RMSE 1.6084 | nl2 0.01602
