[attractor-pool-L63] building size=16 dim=3 spinup_steps=20 seed=42
[attractor-pool-L63] spinup 2/20
[attractor-pool-L63] spinup 4/20
[attractor-pool-L63] spinup 6/20
[attractor-pool-L63] spinup 8/20
[attractor-pool-L63] spinup 10/20
[attractor-pool-L63] spinup 12/20
[attractor-pool-L63] spinup 14/20
[attractor-pool-L63] spinup 16/20
[attractor-pool-L63] spinup 18/20
[attractor-pool-L63] spinup 20/20
[attractor-pool-L63] ready
difficulty trajectories per batch: 0:2, 1:2, 2:2, 3:2
Epoch   0 | RMSE 1.8571 | ES 1.4618 | NLL 0.6420 | mean_MSE 4.5482 | objective 2.4356
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz63/results/l63_balanced_d0to3_ep150/checkpoints/l63_balanced_d0to3_ep150_plain_best.pt
Epoch   1 | RMSE 1.5452 | ES 1.1049 | NLL 2.4154 | mean_MSE 2.9403 | objective 1.9345
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz63/results/l63_balanced_d0to3_ep150/checkpoints/l63_balanced_d0to3_ep150_plain_best.pt
Epoch   2 | RMSE 2.1115 | ES 1.7023 | NLL 0.8228 | mean_MSE 5.7853 | objective 2.9416
Epoch   3 | RMSE 2.5538 | ES 1.8511 | NLL 1.0180 | mean_MSE 8.2706 | objective 3.6070
Epoch   4 | RMSE 2.5843 | ES 2.1786 | NLL 3.4206 | mean_MSE 9.7497 | objective 4.4706
Epoch   5 | RMSE 2.9409 | ES 2.3970 | NLL 1.5301 | mean_MSE 11.4409 | objective 4.8382
Epoch   6 | RMSE 1.9664 | ES 1.7633 | NLL 1.1728 | mean_MSE 5.8983 | objective 3.0603
Epoch   7 | RMSE 2.5280 | ES 1.7148 | NLL 0.9577 | mean_MSE 8.8524 | objective 3.5810
Epoch   8 | RMSE 2.4425 | ES 1.7615 | NLL 1.1096 | mean_MSE 8.2443 | objective 3.5213
Epoch   9 | RMSE 1.6990 | ES 1.7390 | NLL 1.7454 | mean_MSE 3.6886 | objective 2.6512
Epoch  10 | RMSE 2.5425 | ES 2.4609 | NLL 1.1087 | mean_MSE 9.9095 | objective 4.5537
Epoch  11 | RMSE 2.1899 | ES 1.6827 | NLL 5.1777 | mean_MSE 6.6989 | objective 3.5403
Epoch  12 | RMSE 3.0853 | ES 2.4164 | NLL 1.2328 | mean_MSE 13.2281 | objective 5.1853
Epoch  13 | RMSE 2.4167 | ES 1.8885 | NLL 0.7882 | mean_MSE 8.7876 | objective 3.7249
Epoch  14 | RMSE 2.0211 | ES 1.7032 | NLL 0.9972 | mean_MSE 5.9257 | objective 2.9880
Epoch  15 | RMSE 2.9423 | ES 2.2691 | NLL 2.2253 | mean_MSE 11.3416 | objective 4.7599
Epoch  16 | RMSE 1.4457 | ES 1.2695 | NLL 0.8299 | mean_MSE 2.5236 | objective 1.8572
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz63/results/l63_balanced_d0to3_ep150/checkpoints/l63_balanced_d0to3_ep150_plain_best.pt
Epoch  17 | RMSE 2.0506 | ES 1.8203 | NLL 3.1175 | mean_MSE 5.5101 | objective 3.2341
Epoch  18 | RMSE 1.7218 | ES 1.3242 | NLL 1.2291 | mean_MSE 3.6948 | objective 2.1861
Epoch  19 | RMSE 2.0028 | ES 1.8122 | NLL 1.7125 | mean_MSE 5.7448 | objective 3.1324
Epoch  20 | RMSE 1.4681 | ES 1.2643 | NLL 1.1223 | mean_MSE 2.7393 | objective 1.9244
Epoch  21 | RMSE 1.8563 | ES 1.4267 | NLL 6.4001 | mean_MSE 4.5654 | objective 2.9798
Epoch  22 | RMSE 2.0919 | ES 1.6795 | NLL 2.2468 | mean_MSE 5.2622 | objective 2.9567
Epoch  23 | RMSE 1.3970 | ES 1.4440 | NLL 0.8594 | mean_MSE 2.9308 | objective 2.1161
Epoch  24 | RMSE 2.0839 | ES 1.5702 | NLL 1.0101 | mean_MSE 5.5614 | objective 2.7835
Epoch  25 | RMSE 2.5328 | ES 1.7980 | NLL 1.0382 | mean_MSE 7.9908 | objective 3.5000
Epoch  26 | RMSE 1.7526 | ES 1.2812 | NLL 0.8737 | mean_MSE 3.9733 | objective 2.1633
Epoch  27 | RMSE 1.8992 | ES 1.7191 | NLL 0.9097 | mean_MSE 4.6214 | objective 2.7344
Epoch  28 | RMSE 2.2056 | ES 1.5197 | NLL 1.4714 | mean_MSE 6.9020 | objective 3.0473
Epoch  29 | RMSE 1.5675 | ES 1.4914 | NLL 0.8327 | mean_MSE 3.1472 | objective 2.2041
Epoch  30 | RMSE 1.4885 | ES 1.2126 | NLL 1.4054 | mean_MSE 3.0503 | objective 1.9632
Epoch  31 | RMSE 1.2180 | ES 1.4625 | NLL 1.0715 | mean_MSE 2.0046 | objective 1.9706
Epoch  32 | RMSE 2.3855 | ES 1.8027 | NLL 1.5077 | mean_MSE 7.5456 | objective 3.4626
Epoch  33 | RMSE 1.4168 | ES 1.4027 | NLL 0.9564 | mean_MSE 2.5131 | objective 2.0010
Epoch  34 | RMSE 1.5267 | ES 1.1352 | NLL 0.8535 | mean_MSE 2.9219 | objective 1.8049
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz63/results/l63_balanced_d0to3_ep150/checkpoints/l63_balanced_d0to3_ep150_plain_best.pt
Epoch  35 | RMSE 2.1212 | ES 1.6138 | NLL 8.8538 | mean_MSE 5.3767 | objective 3.5745
Epoch  36 | RMSE 2.5209 | ES 1.7929 | NLL 2.1372 | mean_MSE 7.7407 | objective 3.5547
Epoch  37 | RMSE 1.8692 | ES 1.4455 | NLL 1.8011 | mean_MSE 3.9891 | objective 2.4235
Epoch  38 | RMSE 1.4624 | ES 1.3496 | NLL 0.7425 | mean_MSE 2.7791 | objective 1.9797
Epoch  39 | RMSE 1.3243 | ES 1.1200 | NLL 0.6970 | mean_MSE 2.3654 | objective 1.6628
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz63/results/l63_balanced_d0to3_ep150/checkpoints/l63_balanced_d0to3_ep150_plain_best.pt
Epoch  40 | RMSE 1.4622 | ES 1.3335 | NLL 0.8941 | mean_MSE 2.9237 | objective 2.0076
Epoch  41 | RMSE 1.9950 | ES 1.7155 | NLL 1.2147 | mean_MSE 4.8122 | objective 2.7994
Epoch  42 | RMSE 1.9273 | ES 1.7507 | NLL 1.0472 | mean_MSE 4.6479 | objective 2.7850
Epoch  43 | RMSE 1.7824 | ES 1.4897 | NLL 1.6553 | mean_MSE 4.0215 | objective 2.4595
Epoch  44 | RMSE 1.5810 | ES 1.2654 | NLL 0.6117 | mean_MSE 3.0442 | objective 1.9355
Epoch  45 | RMSE 3.1288 | ES 2.2773 | NLL 1.4445 | mean_MSE 14.3127 | objective 5.2843
Epoch  46 | RMSE 1.7480 | ES 1.8205 | NLL 1.1982 | mean_MSE 4.1710 | objective 2.7746
Epoch  47 | RMSE 2.6135 | ES 2.2691 | NLL 7.1310 | mean_MSE 9.0281 | objective 4.7878
Epoch  48 | RMSE 2.0695 | ES 2.0681 | NLL 3.4537 | mean_MSE 5.5948 | objective 3.5324
Epoch  49 | RMSE 3.0722 | ES 2.6147 | NLL 3.3098 | mean_MSE 14.0965 | objective 5.7650
Epoch  50 | RMSE 2.6682 | ES 1.6122 | NLL 0.9959 | mean_MSE 9.3732 | objective 3.5864
Epoch  51 | RMSE 0.9334 | ES 0.9632 | NLL 0.4261 | mean_MSE 1.1031 | objective 1.2264
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz63/results/l63_balanced_d0to3_ep150/checkpoints/l63_balanced_d0to3_ep150_plain_best.pt
Epoch  52 | RMSE 2.3198 | ES 1.6368 | NLL 0.8976 | mean_MSE 7.5516 | objective 3.2369
Epoch  53 | RMSE 2.0572 | ES 1.5874 | NLL 1.4535 | mean_MSE 5.5185 | objective 2.8364
Epoch  54 | RMSE 2.0283 | ES 1.8334 | NLL 12.4735 | mean_MSE 5.3596 | objective 4.1526
Epoch  55 | RMSE 2.2792 | ES 1.6543 | NLL 1.2487 | mean_MSE 7.0699 | objective 3.1932
Epoch  56 | RMSE 1.8148 | ES 1.5846 | NLL 1.0625 | mean_MSE 4.1790 | objective 2.5267
Epoch  57 | RMSE 2.5485 | ES 2.2738 | NLL 2.5407 | mean_MSE 8.7163 | objective 4.2712
Epoch  58 | RMSE 2.0183 | ES 1.6805 | NLL 1.9188 | mean_MSE 5.4744 | objective 2.9673
Epoch  59 | RMSE 1.9437 | ES 1.5015 | NLL 1.5894 | mean_MSE 4.9221 | objective 2.6449
Epoch  60 | RMSE 1.8847 | ES 1.8146 | NLL 0.8127 | mean_MSE 5.7637 | objective 3.0486
