[attractor-pool] building size=16 dim=40 spinup_steps=20 seed=42
[attractor-pool] spinup 2/20
[attractor-pool] spinup 4/20
[attractor-pool] spinup 6/20
[attractor-pool] spinup 8/20
[attractor-pool] spinup 10/20
[attractor-pool] spinup 12/20
[attractor-pool] spinup 14/20
[attractor-pool] spinup 16/20
[attractor-pool] spinup 18/20
[attractor-pool] spinup 20/20
[attractor-pool] ready
difficulty trajectories per batch: 0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1
Epoch   0 | RMSE 7.0401 | nl2 9.29926
Epoch   1 | RMSE 11.3430 | nl2 18.50941
Epoch   2 | RMSE 9.8269 | nl2 14.40996
Epoch   3 | RMSE 4.8127 | nl2 5.29473
Epoch   4 | RMSE 9.6703 | nl2 15.49620
Epoch   5 | RMSE 3.7121 | nl2 3.01989
Epoch   6 | RMSE 10.4307 | nl2 16.80817
Epoch   7 | RMSE 8.0910 | nl2 13.44422
Epoch   8 | RMSE 2.4925 | nl2 0.96767
Epoch   9 | RMSE 8.6092 | nl2 11.53523
Epoch  10 | RMSE 5.1725 | nl2 4.42739
Epoch  11 | RMSE 5.5351 | nl2 5.50734
Epoch  12 | RMSE 11.6473 | nl2 21.51373
Epoch  13 | RMSE 2.3204 | nl2 1.04023
Epoch  14 | RMSE 3.3732 | nl2 2.02818
Epoch  15 | RMSE 11.6548 | nl2 21.25045
Epoch  16 | RMSE 11.0377 | nl2 17.27756
Epoch  17 | RMSE 10.3977 | nl2 15.59265
Epoch  18 | RMSE 0.9384 | nl2 0.12867
Epoch  19 | RMSE 3.8119 | nl2 2.76236
Epoch  20 | RMSE 7.5439 | nl2 9.20386
Epoch  21 | RMSE 5.5061 | nl2 5.08040
Epoch  22 | RMSE 3.9676 | nl2 2.67114
Epoch  23 | RMSE 7.9738 | nl2 10.61887
Epoch  24 | RMSE 6.2290 | nl2 7.19507
Epoch  25 | RMSE 6.5305 | nl2 7.02452
Epoch  26 | RMSE 1.6144 | nl2 0.47658
Epoch  27 | RMSE 3.7160 | nl2 2.87103
Epoch  28 | RMSE 9.5792 | nl2 14.12126
Epoch  29 | RMSE 8.9904 | nl2 12.76447
Epoch  30 | RMSE 2.1456 | nl2 0.70251
Epoch  31 | RMSE 4.6612 | nl2 4.34360
Epoch  32 | RMSE 9.7133 | nl2 14.70599
Epoch  33 | RMSE 3.6717 | nl2 3.69702
Epoch  34 | RMSE 9.3693 | nl2 13.97998
Epoch  35 | RMSE 8.1435 | nl2 11.54594
Epoch  36 | RMSE 3.8085 | nl2 2.37070
Epoch  37 | RMSE 3.6644 | nl2 2.46015
Epoch  38 | RMSE 11.5748 | nl2 20.28568
Epoch  39 | RMSE 7.8308 | nl2 11.01594
Epoch  40 | RMSE 11.0029 | nl2 22.41373
Epoch  41 | RMSE 15.3141 | nl2 33.81448
Epoch  42 | RMSE 16.3919 | nl2 42.72678
Epoch  43 | RMSE 12.3698 | nl2 22.94681
Epoch  44 | RMSE 10.4044 | nl2 16.00228
Epoch  45 | RMSE 10.1202 | nl2 19.39781
Epoch  46 | RMSE 8.9438 | nl2 14.26770
Epoch  47 | RMSE 9.1621 | nl2 14.91396
Epoch  48 | RMSE 7.7443 | nl2 12.84978
Epoch  49 | RMSE 9.7022 | nl2 14.83504
