[attractor-pool] building size=16 dim=40 spinup_steps=20 seed=42
[attractor-pool] spinup 2/20
[attractor-pool] spinup 4/20
[attractor-pool] spinup 6/20
[attractor-pool] spinup 8/20
[attractor-pool] spinup 10/20
[attractor-pool] spinup 12/20
[attractor-pool] spinup 14/20
[attractor-pool] spinup 16/20
[attractor-pool] spinup 18/20
[attractor-pool] spinup 20/20
[attractor-pool] ready
difficulty trajectories per batch: 0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1
Epoch   0 | RMSE 0.5860 | ES 0.4446 | NLL 0.9090 | mean_MSE 0.3777 | objective 0.6110
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz96/results/l96_dim40_balanced_d0to7_ep150/checkpoints/l96_dim40_balanced_d0to7_ep150_plain_best.pt
Epoch   1 | RMSE 0.4380 | ES 0.3504 | NLL 0.3066 | mean_MSE 0.2046 | objective 0.4220
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz96/results/l96_dim40_balanced_d0to7_ep150/checkpoints/l96_dim40_balanced_d0to7_ep150_plain_best.pt
Epoch   2 | RMSE 0.5233 | ES 0.3963 | NLL 0.2039 | mean_MSE 0.2974 | objective 0.4762
Epoch   3 | RMSE 0.4894 | ES 0.3732 | NLL 0.2049 | mean_MSE 0.2563 | objective 0.4450
Epoch   4 | RMSE 0.4051 | ES 0.3288 | NLL 0.9211 | mean_MSE 0.1759 | objective 0.4561
Epoch   5 | RMSE 0.4794 | ES 0.3795 | NLL 0.1424 | mean_MSE 0.2482 | objective 0.4434
Epoch   6 | RMSE 0.4077 | ES 0.3291 | NLL -0.0500 | mean_MSE 0.1767 | objective 0.3595
  saved best objective: /home/abhi/code/defence/AD-EnFF/moe-v1-lorenz/algo/lorenz96/results/l96_dim40_balanced_d0to7_ep150/checkpoints/l96_dim40_balanced_d0to7_ep150_plain_best.pt
Epoch   7 | RMSE 0.4560 | ES 0.3427 | NLL 0.2168 | mean_MSE 0.2228 | objective 0.4089
Epoch   8 | RMSE 0.4652 | ES 0.3681 | NLL 0.7224 | mean_MSE 0.2354 | objective 0.4874
